step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
12,agent_11,0.4531,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3539,0.2611,12,0.4666
12,agent_12,0.4477,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3606,0.2366,12,0.4623
12,,,,0.0,,"{'walk': 4, 'bike': 8}",,,,,
13,agent_1,0.4339,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,walk,0.3063,0.2773,13,0.3973
13,agent_2,0.4257,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3323,0.255,13,0.4404
13,agent_3,0.4261,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.32,0.2778,13,0.4356
13,agent_4,0.4092,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,walk,0.3282,0.2705,13,0.4634
13,agent_5,0.4423,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3427,0.2379,13,0.4295
13,agent_6,0.4268,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3233,0.2663,13,0.4307
13,agent_7,0.4322,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,walk,0.3065,0.2694,13,0.3917
13,agent_8,0.4204,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3313,0.2664,13,0.4549
13,agent_9,0.4385,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3769,0.2295,13,0.5001
13,agent_10,0.4371,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,walk,0.3721,0.2299,13,0.4915
13,agent_11,0.4518,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3742,0.2541,13,0.5055
13,agent_12,0.4478,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3352,0.2423,13,0.412
13,,,,0.0,,"{'walk': 4, 'bike': 8}",,,,,
14,agent_1,0.4242,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,walk,0.2851,0.2848,14,0.3677
14,agent_2,0.4194,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3012,0.2637,14,0.3869
14,agent_3,0.4159,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.305,0.2813,14,0.4163
14,agent_4,0.3998,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,walk,0.2901,0.2783,14,0.3969
14,agent_5,0.4336,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3235,0.2456,14,0.4038
14,agent_6,0.4241,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3065,0.2717,14,0.4019
14,agent_7,0.4302,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,walk,0.2995,0.2756,14,0.3843
14,agent_8,0.417,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3423,0.2647,14,0.4807
14,agent_9,0.4333,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3479,0.234,14,0.4461
14,agent_10,0.4367,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,walk,0.3743,0.229,14,0.4958
14,agent_11,0.4475,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3718,0.2489,14,0.4994
14,agent_12,0.4407,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3147,0.2509,14,0.3825
14,,,,0.0,,"{'walk': 4, 'bike': 8}",,,,,
15,agent_1,0.422,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,walk,0.297,0.2885,15,0.3998
15,agent_2,0.4097,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3195,0.2671,15,0.4402
15,agent_3,0.4101,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.3203,0.281,15,0.4555
15,agent_4,0.3967,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,walk,0.2763,0.2874,15,0.3785
15,agent_5,0.4288,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.337,0.2491,15,0.4416
15,agent_6,0.4221,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3281,0.2718,15,0.4515
